Nombre de nœuds,Temps de suppr (secondes)
10,0.000002
11,0.000001
12,0.000003
13,0.000007
14,0.000002
15,0.000003
16,0.000002
17,0.000002
18,0.000002
19,0.000008
20,0.000001
21,0.000002
22,0.000012
23,0.000001
24,0.000002
25,0.000002
26,0.000002
27,0.000002
28,0.000002
29,0.000007
30,0.000003
31,0.000002
32,0.000002
33,0.000004
34,0.000007
35,0.000001
36,0.000002
37,0.000003
38,0.000002
39,0.000003
40,0.000003
41,0.000002
42,0.000006
43,0.000007
44,0.000003
45,0.000001
46,0.000001
47,0.000002
48,0.000002
49,0.000002
50,0.000009
51,0.000010
52,0.000003
53,0.000002
54,0.000003
55,0.000002
56,0.000002
57,0.000002
58,0.000001
59,0.000002
60,0.000003
61,0.000002
62,0.000002
63,0.000003
64,0.000001
65,0.000002
66,0.000004
67,0.000002
68,0.000002
69,0.000004
70,0.000003
71,0.000002
72,0.000003
73,0.000001
74,0.000003
75,0.000002
76,0.000003
77,0.000002
78,0.000001
79,0.000002
80,0.000003
81,0.000002
82,0.000002
83,0.000003
84,0.000009
85,0.000003
86,0.000003
87,0.000002
88,0.000007
89,0.000004
90,0.000003
91,0.000003
92,0.000002
93,0.000003
94,0.000002
95,0.000001
96,0.000003
97,0.000003
98,0.000003
99,0.000012
100,0.000003
101,0.000004
102,0.000002
103,0.000001
104,0.000002
105,0.000004
106,0.000006
107,0.000004
108,0.000004
109,0.000004
110,0.000004
111,0.000005
112,0.000003
113,0.000003
114,0.000002
115,0.000003
116,0.000002
117,0.000003
118,0.000003
119,0.000003
120,0.000002
121,0.000003
122,0.000001
123,0.000009
124,0.000003
125,0.000003
126,0.000001
127,0.000002
128,0.000002
129,0.000002
130,0.000002
131,0.000003
132,0.000002
133,0.000002
134,0.000002
135,0.000001
136,0.000001
137,0.000002
138,0.000003
139,0.000002
140,0.000002
141,0.000003
142,0.000002
143,0.000002
144,0.000002
145,0.000002
146,0.000003
147,0.000003
148,0.000002
149,0.000004
150,0.000004
151,0.000003
152,0.000002
153,0.000003
154,0.000002
155,0.000002
156,0.000002
157,0.000003
158,0.000003
159,0.000002
160,0.000004
161,0.000002
162,0.000004
163,0.000003
164,0.000002
165,0.000003
166,0.000002
167,0.000003
168,0.000003
169,0.000003
170,0.000003
171,0.000004
172,0.000003
173,0.000003
174,0.000003
175,0.000003
176,0.000003
177,0.000003
178,0.000004
179,0.000004
180,0.000002
181,0.000003
182,0.000003
183,0.000002
184,0.000003
185,0.000004
186,0.000004
187,0.000004
188,0.000002
189,0.000009
190,0.000003
191,0.000002
192,0.000002
193,0.000004
194,0.000002
195,0.000003
196,0.000001
197,0.000002
198,0.000003
199,0.000002
200,0.000001
201,0.000002
202,0.000001
203,0.000003
204,0.000002
205,0.000002
206,0.000002
207,0.000003
208,0.000002
209,0.000002
210,0.000001
211,0.000002
212,0.000002
213,0.000002
214,0.000001
215,0.000001
216,0.000002
217,0.000002
218,0.000003
219,0.000004
220,0.000005
221,0.000004
222,0.000004
223,0.000003
224,0.000004
225,0.000003
226,0.000003
227,0.000003
228,0.000002
229,0.000002
230,0.000003
231,0.000003
232,0.000004
233,0.000003
234,0.000004
235,0.000002
236,0.000002
237,0.000003
238,0.000003
239,0.000003
240,0.000003
241,0.000001
242,0.000003
243,0.000003
244,0.000003
245,0.000003
246,0.000002
247,0.000001
248,0.000003
249,0.000011
250,0.000001
251,0.000003
252,0.000003
253,0.000002
254,0.000002
255,0.000002
256,0.000003
257,0.000002
258,0.000003
259,0.000003
260,0.000002
261,0.000002
262,0.000003
263,0.000003
264,0.000004
265,0.000004
266,0.000005
267,0.000017
268,0.000006
269,0.000004
270,0.000008
271,0.000003
272,0.000003
273,0.000003
274,0.000003
275,0.000002
276,0.000002
277,0.000005
278,0.000004
279,0.000002
280,0.000003
281,0.000002
282,0.000003
283,0.000002
284,0.000003
285,0.000003
286,0.000003
287,0.000001
288,0.000002
289,0.000003
290,0.000003
291,0.000003
292,0.000004
293,0.000003
294,0.000002
295,0.000002
296,0.000002
297,0.000001
298,0.000003
299,0.000002
300,0.000001
301,0.000003
302,0.000002
303,0.000002
304,0.000003
305,0.000003
306,0.000004
307,0.000002
308,0.000003
309,0.000002
310,0.000002
311,0.000001
312,0.000002
313,0.000002
314,0.000001
315,0.000004
316,0.000002
317,0.000003
318,0.000003
319,0.000005
320,0.000003
321,0.000002
322,0.000004
323,0.000003
324,0.000004
325,0.000002
326,0.000004
327,0.000004
328,0.000003
329,0.000003
330,0.000002
331,0.000003
332,0.000002
333,0.000001
334,0.000003
335,0.000003
336,0.000002
337,0.000001
338,0.000003
339,0.000003
340,0.000004
341,0.000003
342,0.000003
343,0.000003
344,0.000003
345,0.000003
346,0.000005
347,0.000005
348,0.000005
349,0.000002
350,0.000003
351,0.000002
352,0.000001
353,0.000006
354,0.000004
355,0.000003
356,0.000002
357,0.000004
358,0.000003
359,0.000001
360,0.000002
361,0.000001
362,0.000003
363,0.000002
364,0.000002
365,0.000002
366,0.000001
367,0.000001
368,0.000002
369,0.000001
370,0.000005
371,0.000003
372,0.000003
373,0.000003
374,0.000003
375,0.000003
376,0.000002
377,0.000003
378,0.000002
379,0.000003
380,0.000003
381,0.000003
382,0.000002
383,0.000001
384,0.000001
385,0.000002
386,0.000001
387,0.000002
388,0.000002
389,0.000002
390,0.000002
391,0.000001
392,0.000002
393,0.000003
394,0.000001
395,0.000001
396,0.000001
397,0.000002
398,0.000002
399,0.000002
400,0.000011
401,0.000003
402,0.000002
403,0.000003
404,0.000002
405,0.000002
406,0.000003
407,0.000001
408,0.000001
409,0.000002
410,0.000002
411,0.000002
412,0.000002
413,0.000003
414,0.000002
415,0.000001
416,0.000002
417,0.000002
418,0.000002
419,0.000001
420,0.000002
421,0.000002
422,0.000003
423,0.000003
424,0.000003
425,0.000003
426,0.000002
427,0.000003
428,0.000013
429,0.000004
430,0.000008
431,0.000004
432,0.000004
433,0.000003
434,0.000009
435,0.000002
436,0.000006
437,0.000008
438,0.000005
439,0.000004
440,0.000004
441,0.000009
442,0.000009
443,0.000005
444,0.000007
445,0.000014
446,0.000004
447,0.000004
448,0.000006
449,0.000003
450,0.000002
451,0.000003
452,0.000003
453,0.000004
454,0.000003
455,0.000003
456,0.000004
457,0.000002
458,0.000002
459,0.000002
460,0.000003
461,0.000003
462,0.000002
463,0.000003
464,0.000003
465,0.000003
466,0.000003
467,0.000003
468,0.000001
469,0.000003
470,0.000003
471,0.000003
472,0.000002
473,0.000001
474,0.000002
475,0.000004
476,0.000001
477,0.000002
478,0.000003
479,0.000002
480,0.000001
481,0.000002
482,0.000002
483,0.000002
484,0.000003
485,0.000002
486,0.000004
487,0.000004
488,0.000003
489,0.000003
490,0.000003
491,0.000002
492,0.000003
493,0.000003
494,0.000003
495,0.000002
496,0.000003
497,0.000003
498,0.000004
499,0.000004
500,0.000002
501,0.000003
502,0.000005
503,0.000003
504,0.000002
505,0.000003
506,0.000002
507,0.000005
508,0.000003
509,0.000002
510,0.000002
511,0.000004
512,0.000002
513,0.000003
514,0.000004
515,0.000002
516,0.000004
517,0.000003
518,0.000003
519,0.000002
520,0.000001
521,0.000002
522,0.000002
523,0.000003
524,0.000002
525,0.000004
526,0.000005
527,0.000005
528,0.000003
529,0.000007
530,0.000003
531,0.000003
532,0.000003
533,0.000003
534,0.000003
535,0.000002
536,0.000002
537,0.000001
538,0.000001
539,0.000003
540,0.000002
541,0.000002
542,0.000002
543,0.000003
544,0.000003
545,0.000002
546,0.000003
547,0.000001
548,0.000002
549,0.000002
550,0.000001
551,0.000003
552,0.000003
553,0.000002
554,0.000001
555,0.000001
556,0.000002
557,0.000003
558,0.000003
559,0.000003
560,0.000002
561,0.000002
562,0.000001
563,0.000002
564,0.000002
565,0.000003
566,0.000003
567,0.000003
568,0.000003
569,0.000003
570,0.000002
571,0.000001
572,0.000003
573,0.000002
574,0.000001
575,0.000003
576,0.000002
577,0.000002
578,0.000001
579,0.000003
580,0.000005
581,0.000001
582,0.000002
583,0.000002
584,0.000003
585,0.000001
586,0.000003
587,0.000002
588,0.000003
589,0.000003
590,0.000003
591,0.000001
592,0.000002
593,0.000002
594,0.000001
595,0.000002
596,0.000004
597,0.000005
598,0.000002
599,0.000003
600,0.000003
601,0.000002
602,0.000002
603,0.000001
604,0.000002
605,0.000002
606,0.000001
607,0.000002
608,0.000004
609,0.000003
610,0.000003
611,0.000003
612,0.000002
613,0.000003
614,0.000002
615,0.000003
616,0.000002
617,0.000002
618,0.000003
619,0.000002
620,0.000003
621,0.000001
622,0.000002
623,0.000003
624,0.000002
625,0.000003
626,0.000001
627,0.000003
628,0.000002
629,0.000002
630,0.000002
631,0.000003
632,0.000003
633,0.000002
634,0.000003
635,0.000003
636,0.000002
637,0.000002
638,0.000003
639,0.000002
640,0.000002
641,0.000008
642,0.000003
643,0.000002
644,0.000003
645,0.000002
646,0.000002
647,0.000002
648,0.000001
649,0.000003
650,0.000003
651,0.000003
652,0.000003
653,0.000001
654,0.000003
655,0.000002
656,0.000002
657,0.000003
658,0.000002
659,0.000003
660,0.000002
661,0.000003
662,0.000002
663,0.000002
664,0.000002
665,0.000002
666,0.000003
667,0.000002
668,0.000003
669,0.000002
670,0.000002
671,0.000004
672,0.000002
673,0.000004
674,0.000005
675,0.000005
676,0.000003
677,0.000004
678,0.000004
679,0.000005
680,0.000004
681,0.000004
682,0.000004
683,0.000004
684,0.000009
685,0.000004
686,0.000003
687,0.000004
688,0.000003
689,0.000004
690,0.000004
691,0.000003
692,0.000003
693,0.000003
694,0.000003
695,0.000003
696,0.000004
697,0.000002
698,0.000003
699,0.000003
700,0.000003
701,0.000003
702,0.000004
703,0.000005
704,0.000006
705,0.000008
706,0.000006
707,0.000007
708,0.000003
709,0.000002
710,0.000003
711,0.000003
712,0.000001
713,0.000002
714,0.000002
715,0.000002
716,0.000002
717,0.000004
718,0.000005
719,0.000004
720,0.000003
721,0.000005
722,0.000002
723,0.000005
724,0.000004
725,0.000005
726,0.000005
727,0.000003
728,0.000003
729,0.000003
730,0.000003
731,0.000004
732,0.000003
733,0.000002
734,0.000003
735,0.000002
736,0.000002
737,0.000002
738,0.000002
739,0.000003
740,0.000002
741,0.000002
742,0.000003
743,0.000002
744,0.000002
745,0.000002
746,0.000003
747,0.000003
748,0.000002
749,0.000004
750,0.000004
751,0.000003
752,0.000003
753,0.000002
754,0.000004
755,0.000004
756,0.000004
757,0.000003
758,0.000004
759,0.000002
760,0.000003
761,0.000002
762,0.000004
763,0.000003
764,0.000003
765,0.000004
766,0.000003
767,0.000014
768,0.000003
769,0.000003
770,0.000003
771,0.000003
772,0.000002
773,0.000002
774,0.000003
775,0.000003
776,0.000001
777,0.000002
778,0.000002
779,0.000003
780,0.000002
781,0.000003
782,0.000001
783,0.000003
784,0.000002
785,0.000002
786,0.000003
787,0.000001
788,0.000002
789,0.000004
790,0.000003
791,0.000002
792,0.000002
793,0.000002
794,0.000001
795,0.000002
796,0.000001
797,0.000001
798,0.000002
799,0.000003
800,0.000001
801,0.000002
802,0.000002
803,0.000003
804,0.000002
805,0.000001
806,0.000003
807,0.000003
808,0.000003
809,0.000003
810,0.000001
811,0.000003
812,0.000003
813,0.000003
814,0.000003
815,0.000001
816,0.000002
817,0.000003
818,0.000001
819,0.000001
820,0.000003
821,0.000002
822,0.000003
823,0.000003
824,0.000002
825,0.000003
826,0.000001
827,0.000003
828,0.000002
829,0.000002
830,0.000002
831,0.000003
832,0.000004
833,0.000005
834,0.000004
835,0.000003
836,0.000003
837,0.000002
838,0.000003
839,0.000001
840,0.000002
841,0.000007
842,0.000004
843,0.000003
844,0.000003
845,0.000002
846,0.000003
847,0.000002
848,0.000002
849,0.000001
850,0.000003
851,0.000002
852,0.000003
853,0.000001
854,0.000003
855,0.000002
856,0.000002
857,0.000002
858,0.000003
859,0.000002
860,0.000003
861,0.000003
862,0.000003
863,0.000003
864,0.000003
865,0.000003
866,0.000003
867,0.000003
868,0.000001
869,0.000003
870,0.000002
871,0.000010
872,0.000005
873,0.000004
874,0.000005
875,0.000002
876,0.000003
877,0.000004
878,0.000001
879,0.000002
880,0.000001
881,0.000001
882,0.000002
883,0.000003
884,0.000003
885,0.000003
886,0.000004
887,0.000004
888,0.000003
889,0.000003
890,0.000004
891,0.000003
892,0.000002
893,0.000001
894,0.000002
895,0.000002
896,0.000001
897,0.000003
898,0.000002
899,0.000002
900,0.000002
901,0.000001
902,0.000002
903,0.000002
904,0.000002
905,0.000002
906,0.000002
907,0.000002
908,0.000001
909,0.000003
910,0.000003
911,0.000004
912,0.000003
913,0.000003
914,0.000004
915,0.000003
916,0.000004
917,0.000004
918,0.000005
919,0.000004
920,0.000003
921,0.000003
922,0.000005
923,0.000003
924,0.000005
925,0.000004
926,0.000004
927,0.000004
928,0.000005
929,0.000002
930,0.000003
931,0.000003
932,0.000003
933,0.000003
934,0.000003
935,0.000001
936,0.000002
937,0.000001
938,0.000003
939,0.000002
940,0.000002
941,0.000003
942,0.000003
943,0.000002
944,0.000003
945,0.000003
946,0.000003
947,0.000003
948,0.000002
949,0.000002
950,0.000002
951,0.000002
952,0.000003
953,0.000005
954,0.000001
955,0.000001
956,0.000002
957,0.000003
958,0.000001
959,0.000003
960,0.000002
961,0.000002
962,0.000001
963,0.000003
964,0.000002
965,0.000003
966,0.000002
967,0.000002
968,0.000003
969,0.000003
970,0.000001
971,0.000003
972,0.000003
973,0.000003
974,0.000003
975,0.000003
976,0.000002
977,0.000003
978,0.000003
979,0.000003
980,0.000004
981,0.000003
982,0.000004
983,0.000002
984,0.000002
985,0.000002
986,0.000003
987,0.000002
988,0.000003
989,0.000004
990,0.000003
991,0.000002
992,0.000003
993,0.000003
994,0.000003
995,0.000002
996,0.000003
997,0.000002
998,0.000003
999,0.000003
1000,0.000001
